variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
narrower_query,6417,2652,55968920900,Hvidman U.,1,1,0,0,1,0,9283,84941784146,https://www.scopus.com/authid/detail.uri?authorId=55968920900,unvalidated_query_candidate_articles
narrower_query,6418,2652,55969268100,Pedersen S.H.,1,1,0,0,1,0,9283,84890549581,https://www.scopus.com/authid/detail.uri?authorId=55969268100,unvalidated_query_candidate_articles
narrower_query,6419,2652,55969775400,Di Falco S.,1,1,0,0,1,0,9283,85058189001,https://www.scopus.com/authid/detail.uri?authorId=55969775400,unvalidated_query_candidate_articles
narrower_query,6420,2652,55970444200,Ayres I.,1,1,0,0,1,0,9283,84890653985,https://www.scopus.com/authid/detail.uri?authorId=55970444200,unvalidated_query_candidate_articles
narrower_query,6421,2652,55970550100,Luedeman R.,1,0,1,0,0,1,9283,84890653985,https://www.scopus.com/authid/detail.uri?authorId=55970550100,unvalidated_query_candidate_articles
narrower_query,6422,2652,55971454800,Moravec M.,1,0,1,0,0,1,9283,85128749251,https://www.scopus.com/authid/detail.uri?authorId=55971454800,unvalidated_query_candidate_articles
narrower_query,6423,2652,55972816100,Li J.,1,1,0,0,1,0,9283,105034293043,https://www.scopus.com/authid/detail.uri?authorId=55972816100,unvalidated_query_candidate_articles
narrower_query,6424,2652,55973944500,Bounds D.T.,1,0,1,0,0,1,9283,85111481317,https://www.scopus.com/authid/detail.uri?authorId=55973944500,unvalidated_query_candidate_articles
narrower_query,6425,2652,55976970200,Moffat S.,1,1,0,0,1,0,9283,84971454036,https://www.scopus.com/authid/detail.uri?authorId=55976970200,unvalidated_query_candidate_articles
narrower_query,6426,2652,55978227200,Perez-Osorio J.,1,1,0,0,1,0,9283,84961315236,https://www.scopus.com/authid/detail.uri?authorId=55978227200,unvalidated_query_candidate_articles
narrower_query,6427,2652,55978792100,Heath R.,1,1,0,0,1,0,9283,85104305289,https://www.scopus.com/authid/detail.uri?authorId=55978792100,unvalidated_query_candidate_articles
narrower_query,6428,2652,55978901700,Martuscelli A.,1,1,0,0,1,0,9283,105031661836,https://www.scopus.com/authid/detail.uri?authorId=55978901700,unvalidated_query_candidate_articles
narrower_query,6429,2652,55980253900,Garcia D.,1,1,0,0,1,0,9283,84962839080,https://www.scopus.com/authid/detail.uri?authorId=55980253900,unvalidated_query_candidate_articles
narrower_query,6430,2652,55983506700,Tsukamoto S.,1,1,0,0,1,0,9283,85021393450,https://www.scopus.com/authid/detail.uri?authorId=55983506700,unvalidated_query_candidate_articles
narrower_query,6431,2652,55986034000,Lee Y.M.,1,0,1,0,0,1,9283,85170386999,https://www.scopus.com/authid/detail.uri?authorId=55986034000,unvalidated_query_candidate_articles
narrower_query,6432,2652,55986889700,Zairis A.,1,0,1,0,0,1,9283,85107337857,https://www.scopus.com/authid/detail.uri?authorId=55986889700,unvalidated_query_candidate_articles
narrower_query,6433,2652,55987086700,Bolman C.,1,0,1,0,0,1,9283,84904037830,https://www.scopus.com/authid/detail.uri?authorId=55987086700,unvalidated_query_candidate_articles
