authid,name,orcid,name_source_scopus_id
6508266176,Carrero G.,,85195977275
6508272518,Benbaji Y.,,84950111310
6508273756,Canache D.,,85120550900
6508296287,Armantier O.,,85185602459
6508301406,Galariotis E.,,85098725919
6508320762,Badida M.,,85128749251
6508323655,Terum L.,,85015026292
6508326541,De Verdalle L.,,84982851871
6508329465,Gwiasda G.W.,,77950941472
6508336173,Mehlkop G.,0000-0003-3095-6188,105039779372
6508337114,Tadlock B.L.,,85040805854
6508345773,Konrath S.H.,,79952659541
6508352468,Saguy A.C.,,84899913089
6508363434,Ruhs M.,0000-0001-6376-2414,105034682425
6508370293,Galuppi B.,,85103442864
6508372984,Dechurch L.A.,,85097015205
6508382500,Winett L.B.,,85113135382
6508384425,Elkins Z.,0000-0002-7932-773X,85116829890
6508388329,De Brauw A.,0000-0002-5045-8939,85143834127
6508390351,Serber E.R.,,77649180734
6601918332,Streb J.,,85095937109
6601924137,Sniderman P.M.,,85182896373
6601949049,Fjell A.M.,,85112410054
6601953528,Mouazen A.M.,0000-0002-0354-0067,85199271305
6601955323,Reisenzein R.,0000-0002-6091-108X,105022086443
6601956224,Gastil J.,,105024003881
6601967769,Fiorito J.,0000-0003-1898-4354,85100911911
6601972298,Kittel B.,0000-0001-9799-8310,105017678126
6601977069,Kühnen U.,,85065119258
6601985595,Costelloe M.,,85058398410
6601986894,Olley B.,,84958545456
6601987187,Rakner L.,,85190415526
6601991403,Fiebach C.J.,,84960408856
6601992604,Klandermans B.,,85070721033
6601995406,Safdar S.,,85143329887
6602003102,Schnyer D.M.,,84954052445
6602072466,Kuropatkin N.,0000-0003-2511-0946,85126624477
6602074574,Warman D.,,85055420673
6602074957,Stich S.,,85088216599
6602076925,Van Boven L.,,85188564895
6602078802,Schwitzgebel E.,,85088658749
6602079224,Cherryman J.,,85074579244
6602086370,Arin K.P.,,85194821044
6602088021,Galperin H.,,85107501518
6602090638,Yashar B.M.,,84956844791
6602100286,Radomsky A.S.,0000-0003-2807-184X,85176255308
6602104017,Crepaz M.M.L.,0000-0003-3062-3009,85197902746
6602110388,Bernauer T.,,105043534448
6602110438,Staggs S.T.,0000-0002-7020-7301,105011302164
6602115689,Gohmann S.,,85143858690
6602116185,Patt A.G.,,105033842473
6602116782,Wernstedt K.,0000-0003-4448-4724,85088817409
6602116787,Ben-Gal I.,,85076509763
