position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
2201,2190,6505791820,Zouridis S.,1,0,0,1,0,,0.5,false,85173923907,https://www.scopus.com/authid/detail.uri?authorId=6505791820,provisional_query_candidates
2202,2190,6505804802,Ponnet K.,1,1,0,1,0,,0.333333,false,105032532691,https://www.scopus.com/authid/detail.uri?authorId=6505804802,provisional_query_candidates
2203,2190,6505807414,Bulling A.,1,1,0,1,0,,0.25,false,85193254362,https://www.scopus.com/authid/detail.uri?authorId=6505807414,provisional_query_candidates
2204,2190,6505912362,St-Amour P.,1,0,0,1,0,,0.5,false,105048604572,https://www.scopus.com/authid/detail.uri?authorId=6505912362,provisional_query_candidates
2205,2190,6505942728,Zamarro G.,1,0,0,1,0,,0.333333,false,85146041280,https://www.scopus.com/authid/detail.uri?authorId=6505942728,provisional_query_candidates
2206,2190,6505943995,Cassino D.,1,0,1,0,0,,0.5,false,77649214051,https://www.scopus.com/authid/detail.uri?authorId=6505943995,provisional_query_candidates
2207,2190,6505965176,Sheringham J.,1,1,1,0,0,,0.333333,false,85104620647,https://www.scopus.com/authid/detail.uri?authorId=6505965176,provisional_query_candidates
2208,2190,6506018677,Kuusisto H.,1,1,0,1,0,,0.25,false,85199373363,https://www.scopus.com/authid/detail.uri?authorId=6506018677,provisional_query_candidates
2209,2190,6506033030,Aardal B.,1,0,0,1,0,,0.25,false,85101368479,https://www.scopus.com/authid/detail.uri?authorId=6506033030,provisional_query_candidates
2210,2190,6506037678,Moyano-Díaz E.,1,0,0,1,0,,0.333333,false,85136176787,https://www.scopus.com/authid/detail.uri?authorId=6506037678,provisional_query_candidates
2211,2190,6506070961,Mageau G.A.,1,1,0,1,0,,0.5,false,85070736573,https://www.scopus.com/authid/detail.uri?authorId=6506070961,provisional_query_candidates
2212,2190,6506090416,Nijstad B.,1,1,0,1,0,,0.25,false,105003936982,https://www.scopus.com/authid/detail.uri?authorId=6506090416,provisional_query_candidates
2213,2190,6506217442,Lopoo L.,1,0,0,1,0,,0.5,false,85167336441,https://www.scopus.com/authid/detail.uri?authorId=6506217442,provisional_query_candidates
2214,2190,6506223338,Piquero N.,1,0,1,0,0,,0.333333,false,77956070111,https://www.scopus.com/authid/detail.uri?authorId=6506223338,provisional_query_candidates
2215,2190,6506245937,Stocklmayer S.,1,0,0,1,0,,0.5,false,105040392937,https://www.scopus.com/authid/detail.uri?authorId=6506245937,provisional_query_candidates
2216,2190,6506265295,Wampler B.,1,0,0,1,0,,0.5,false,85175422942,https://www.scopus.com/authid/detail.uri?authorId=6506265295,provisional_query_candidates
2217,2190,6506310989,Collins C.,1,1,0,1,0,,0.5,false,84928403676,https://www.scopus.com/authid/detail.uri?authorId=6506310989,provisional_query_candidates
2218,2190,6506375580,Vringer K.,1,1,0,1,0,,0.25,false,105033985432,https://www.scopus.com/authid/detail.uri?authorId=6506375580,provisional_query_candidates
2219,2190,6506385442,Vavreck L.,1,1,0,1,0,,0.25,false,105009530392,https://www.scopus.com/authid/detail.uri?authorId=6506385442,provisional_query_candidates
2220,2190,6506424926,Sánchez-Ferrer L.,1,0,0,1,0,,0.333333,false,85205939738,https://www.scopus.com/authid/detail.uri?authorId=6506424926,provisional_query_candidates
2221,2190,6506514689,Togeby L.,1,0,0,1,0,,0.25,false,79959301476,https://www.scopus.com/authid/detail.uri?authorId=6506514689,provisional_query_candidates
2222,2190,6506544927,Otondo R.F.,1,0,1,0,0,,0.333333,false,85042398288,https://www.scopus.com/authid/detail.uri?authorId=6506544927,provisional_query_candidates
2223,2190,6506556076,Blaydes L.,1,0,1,0,0,,0.5,false,85180204009,https://www.scopus.com/authid/detail.uri?authorId=6506556076,provisional_query_candidates
2224,2190,6506566027,Wielhouwer J.L.,1,0,0,1,0,,0.5,false,105005377017,https://www.scopus.com/authid/detail.uri?authorId=6506566027,provisional_query_candidates
2225,2190,6506688421,Hiscox M.J.,1,0,0,1,0,,0.5,true,77952421759,https://www.scopus.com/authid/detail.uri?authorId=6506688421,provisional_query_candidates
2226,2190,6506786136,Helmig B.,1,0,0,1,0,,0.333333,false,85162976989,https://www.scopus.com/authid/detail.uri?authorId=6506786136,provisional_query_candidates
2227,2190,6506805639,Muratbekova-Touron M.,1,1,1,0,0,,0.333333,false,85110520492,https://www.scopus.com/authid/detail.uri?authorId=6506805639,provisional_query_candidates
2228,2190,6506813830,Zohlnhöfer R.,1,0,0,1,0,,0.5,false,85038391565,https://www.scopus.com/authid/detail.uri?authorId=6506813830,provisional_query_candidates
